brand,cpu,ram_gb,storage_gb,gpu,color_gamut,price,name
ASUS,Celeron Dual,4.0,512.0,Integrated,100.0,3418100.0,
HP,Celeron Dual,4.0,512.0,Integrated,100.0,5029300.0,
HP,Celeron Dual,4.0,512.0,Integrated,100.0,5318100.0,
Lenovo,Celeron Dual,4.0,1024.0,Integrated,100.0,5699810.0,
Lenovo,Celeron Dual,4.0,512.0,Integrated,100.0,4938100.0,
Lenovo,Celeron Dual,4.0,512.0,Integrated,100.0,3228100.0,
Lenovo,Celeron Dual,4.0,512.0,Integrated,100.0,4748100.0,
acer,Core i5,8.0,512.0,4 GB GPU,100.0,9688100.0,
acer,Core i5,8.0,512.0,Integrated,100.0,22798100.0,
acer,Core i5,8.0,512.0,Integrated,100.0,17896100.0,
ASUS,Core i5,8.0,512.0,4 GB GPU,100.0,20171730.0,
DELL,Core i5,8.0,512.0,4 GB GPU,100.0,12937100.0,
DELL,Core i5,8.0,512.0,Integrated,100.0,26598100.0,
HP,Core i5,8.0,512.0,Integrated,100.0,10638100.0,
HP,Core i5,8.0,512.0,4 GB GPU,100.0,19484690.0,
Lenovo,Core i5,8.0,512.0,2 GB GPU,100.0,8928100.0,
HP,Core i5,8.0,128.0,Integrated,100.0,14442280.0,
Lenovo,Core i5,8.0,256.0,Integrated,100.0,9403100.0,
acer,Core i5,8.0,256.0,Integrated,100.0,16504730.0,
ASUS,Core i5,8.0,256.0,Integrated,100.0,9308100.0,
DELL,Core i5,8.0,256.0,Integrated,100.0,10638100.0,
acer,Core i5,8.0,256.0,Integrated,100.0,15579620.0,
HP,Core i5,8.0,256.0,Integrated,100.0,25952100.0,
acer,Core i5,8.0,256.0,Integrated,100.0,11303100.0,
ASUS,Core i5,8.0,256.0,Integrated,100.0,9462000.0,
Lenovo,Core i5,8.0,256.0,Integrated,100.0,11779810.0,
HP,Core i5,8.0,512.0,Integrated,100.0,10448100.0,
HP,Core i5,8.0,512.0,Integrated,100.0,10258100.0,
Lenovo,Core i5,8.0,512.0,Integrated,100.0,10068100.0,
HP,Core i5,16.0,512.0,Integrated,100.0,12918100.0,
ASUS,Core i5,8.0,512.0,4 GB GPU,100.0,11018100.0,
Lenovo,Core i5,16.0,512.0,Integrated,100.0,11837000.0,
Lenovo,Core i5,8.0,512.0,Integrated,100.0,10068100.0,
Lenovo,Core i5,8.0,512.0,Integrated,100.0,9878100.0,
Lenovo,Core i5,16.0,512.0,Integrated,100.0,11778100.0,
ASUS,Core i5,8.0,512.0,Integrated,100.0,12158100.0,
Lenovo,Core i5,8.0,512.0,Integrated,100.0,12538100.0,
acer,Core i5,8.0,512.0,Integrated,100.0,10068100.0,
Lenovo,Core i5,8.0,512.0,Integrated,100.0,9498100.0,
ASUS,Core i5,8.0,512.0,4 GB GPU,100.0,13678100.0,
ASUS,Core i5,8.0,512.0,Integrated,100.0,9118100.0,
Lenovo,Core i5,8.0,512.0,Integrated,100.0,9213100.0,
ASUS,Core i5,8.0,512.0,4 GB GPU,100.0,13868100.0,
MSI,Core i5,16.0,512.0,4 GB GPU,100.0,14628100.0,
ASUS,Core i5,16.0,512.0,6 GB GPU,100.0,17098100.0,
MSI,Core i5,8.0,512.0,4 GB GPU,100.0,11398100.0,
ASUS,Core i5,8.0,512.0,4 GB GPU,100.0,12538100.0,
DELL,Core i5,8.0,512.0,Integrated,100.0,13678100.0,
DELL,Core i5,8.0,512.0,Integrated,100.0,13659100.0,
Lenovo,Core i5,16.0,512.0,Integrated,100.0,12348100.0,
ASUS,Core i5,16.0,512.0,Integrated,100.0,12538100.0,
HP,Core i5,8.0,512.0,Integrated,100.0,10639810.0,
ASUS,Core i5,16.0,512.0,4 GB GPU,100.0,13963100.0,
HP,Core i5,16.0,512.0,Integrated,100.0,14153100.0,
HP,Core i5,8.0,512.0,Integrated,100.0,11084600.0,
acer,Core i5,8.0,512.0,Integrated,100.0,10639810.0,
DELL,Core i5,16.0,512.0,Integrated,100.0,12918100.0,
ASUS,Core i5,16.0,512.0,Integrated,100.0,11398100.0,
ASUS,Core i5,16.0,512.0,6 GB GPU,100.0,15768100.0,
DELL,Core i5,8.0,512.0,2 GB GPU,100.0,12196100.0,
DELL,Core i5,16.0,512.0,Integrated,100.0,13317100.0,
ASUS,Core i5,8.0,512.0,2 GB GPU,100.0,9498100.0,
MSI,Core i5,8.0,512.0,Integrated,100.0,10543100.0,
HP,Core i5,8.0,512.0,Integrated,100.0,18618100.0,
ASUS,Core i5,8.0,512.0,4 GB GPU,100.0,10448100.0,
Lenovo,Core i5,8.0,512.0,Integrated,100.0,11398100.0,
Lenovo,Core i5,8.0,512.0,Integrated,100.0,10258100.0,
HP,Core i5,16.0,512.0,Integrated,100.0,12729810.0,
acer,Core i5,8.0,512.0,Integrated,100.0,11588100.0,
ASUS,Core i5,8.0,512.0,Integrated,100.0,9118100.0,
HP,Core i5,8.0,512.0,Integrated,100.0,11399810.0,
DELL,Core i5,16.0,512.0,4 GB GPU,100.0,15198100.0,
ASUS,Core i5,8.0,512.0,4 GB GPU,100.0,12158100.0,
HP,Core i5,8.0,512.0,Integrated,100.0,12158100.0,
ASUS,Core i5,16.0,512.0,Integrated,100.0,11398100.0,
Lenovo,Core i5,8.0,512.0,Integrated,100.0,10638100.0,
ASUS,Core i5,16.0,512.0,Integrated,100.0,11398100.0,
HP,Core i5,8.0,512.0,Integrated,100.0,12158100.0,
DELL,Core i5,16.0,512.0,2 GB GPU,100.0,13203100.0,
DELL,Core i5,16.0,512.0,Integrated,100.0,16984100.0,
ASUS,Core i5,8.0,512.0,Integrated,100.0,14248100.0,
Lenovo,Core i5,8.0,512.0,Integrated,100.0,12348100.0,
Lenovo,Core i5,8.0,512.0,4 GB GPU,100.0,12633100.0,
DELL,Core i5,16.0,512.0,2 GB GPU,100.0,17043380.0,
Lenovo,Core i5,16.0,512.0,2 GB GPU,100.0,13488100.0,
ASUS,Core i5,16.0,512.0,Integrated,100.0,11208100.0,
Lenovo,Core i5,8.0,512.0,2 GB GPU,100.0,10925000.0,
DELL,Core i5,8.0,512.0,2 GB GPU,100.0,15198100.0,
MSI,Core i5,8.0,512.0,Integrated,100.0,10742790.0,
ASUS,Core i5,16.0,512.0,Integrated,100.0,11398100.0,
Lenovo,Core i5,16.0,512.0,Integrated,100.0,12348100.0,
DELL,Core i5,8.0,512.0,Integrated,100.0,11645100.0,
Lenovo,Core i5,8.0,512.0,Integrated,100.0,10448100.0,
Lenovo,Core i5,8.0,512.0,Integrated,100.0,11398100.0,
ASUS,Core i5,8.0,512.0,6 GB GPU,100.0,16148100.0,
HP,Core i5,8.0,512.0,Integrated,100.0,13775000.0,
Lenovo,Core i5,8.0,512.0,4 GB GPU,100.0,11398100.0,
Lenovo,Core i5,8.0,512.0,Integrated,100.0,16718100.0,
HP,Core i5,8.0,512.0,Integrated,100.0,11018100.0,
DELL,Core i5,8.0,512.0,Integrated,100.0,13203100.0,
Lenovo,Core i5,8.0,512.0,Integrated,100.0,13108100.0,
Lenovo,Core i5,8.0,512.0,Integrated,100.0,14818100.0,
ASUS,Core i5,8.0,512.0,Integrated,100.0,20138100.0,
MSI,Core i5,8.0,512.0,Integrated,100.0,15198100.0,
DELL,Core i5,8.0,512.0,Integrated,100.0,10543100.0,
Lenovo,Core i5,8.0,512.0,Integrated,100.0,13298100.0,
ASUS,Core i5,8.0,512.0,Integrated,100.0,16148100.0,
DELL,Core i5,8.0,512.0,Integrated,100.0,11398100.0,
DELL,Core i5,8.0,512.0,Integrated,100.0,21259100.0,
DELL,Core i5,8.0,512.0,2 GB GPU,100.0,12538100.0,
ASUS,Core i5,8.0,512.0,Integrated,100.0,13868100.0,
DELL,Core i5,8.0,512.0,Integrated,100.0,13507100.0,
MSI,Core i5,8.0,512.0,4 GB GPU,100.0,14248100.0,
ASUS,Core i5,8.0,512.0,Integrated,100.0,15198100.0,
MSI,Core i5,8.0,512.0,Integrated,100.0,10543100.0,
DELL,Core i5,8.0,512.0,2 GB GPU,100.0,12633100.0,
ASUS,Core i5,8.0,512.0,Integrated,100.0,10146000.0,
DELL,Core i5,8.0,512.0,Integrated,100.0,14155000.0,
DELL,Core i5,8.0,512.0,Integrated,100.0,21848100.0,
DELL,Core i5,8.0,512.0,2 GB GPU,100.0,11778100.0,
APPLE,Core i5,8.0,512.0,Integrated,100.0,30398100.0,
APPLE,Core i5,8.0,512.0,Integrated,100.0,32697100.0,
MSI,Core i5,8.0,512.0,4 GB GPU,100.0,14248100.0,
MSI,Core i5,8.0,512.0,Integrated,100.0,10733100.0,
Lenovo,Core i5,8.0,512.0,Integrated,100.0,27930000.0,
Lenovo,Core i5,8.0,512.0,Integrated,100.0,10638100.0,
HP,Core i5,8.0,512.0,4 GB GPU,100.0,14818100.0,
HP,Core i5,8.0,512.0,4 GB GPU,100.0,20233100.0,
Lenovo,Core i5,8.0,512.0,2 GB GPU,100.0,13488100.0,
Lenovo,Core i5,8.0,512.0,Integrated,100.0,12348100.0,
acer,Core i5,8.0,512.0,Integrated,100.0,11018100.0,
ASUS,Core i5,8.0,512.0,4 GB GPU,100.0,12348100.0,
MSI,Core i5,8.0,512.0,Integrated,100.0,10448100.0,
HP,Core i5,8.0,512.0,Integrated,100.0,21279810.0,
Lenovo,Core i5,8.0,512.0,2 GB GPU,100.0,13451620.0,
Lenovo,Core i5,8.0,512.0,4 GB GPU,100.0,11398100.0,
acer,Core i5,8.0,512.0,4 GB GPU,100.0,18905000.0,
HP,Core i5,8.0,512.0,Integrated,100.0,10638100.0,
ASUS,Core i5,8.0,512.0,Integrated,100.0,13868100.0,
acer,Core i5,8.0,512.0,Integrated,100.0,12348100.0,
ASUS,Core i5,8.0,512.0,Integrated,100.0,11018100.0,
HP,Core i5,8.0,512.0,2 GB GPU,100.0,14628100.0,
Lenovo,Core i5,8.0,512.0,Integrated,100.0,11969620.0,
DELL,Core i5,8.0,512.0,Integrated,100.0,14818100.0,
HP,Core i5,8.0,512.0,Integrated,100.0,21848100.0,
DELL,Core i5,8.0,512.0,2 GB GPU,100.0,12538100.0,
DELL,Core i5,8.0,512.0,2 GB GPU,100.0,16908100.0,
Lenovo,Core i5,8.0,512.0,Integrated,100.0,21582100.0,
ASUS,Core i5,8.0,512.0,Integrated,100.0,14058100.0,
HP,Core i5,8.0,512.0,Integrated,100.0,11590000.0,
ASUS,Core i5,8.0,512.0,Integrated,100.0,18998100.0,
Lenovo,Core i5,8.0,512.0,Integrated,100.0,12918100.0,
DELL,Core i5,8.0,512.0,Integrated,100.0,13451810.0,
Lenovo,Core i5,8.0,512.0,Integrated,100.0,12538100.0,
ASUS,Core i5,8.0,512.0,Integrated,100.0,10201100.0,
MSI,Core i5,8.0,512.0,Integrated,100.0,10638100.0,
ASUS,Core i5,8.0,512.0,Integrated,100.0,10106100.0,
Lenovo,Core i5,8.0,512.0,2 GB GPU,100.0,11209810.0,
DELL,Core i5,8.0,512.0,2 GB GPU,100.0,13678100.0,
HP,Core i5,8.0,512.0,4 GB GPU,100.0,15580000.0,
ASUS,Core i5,8.0,512.0,Integrated,100.0,16148100.0,
Lenovo,Core i5,8.0,512.0,2 GB GPU,100.0,17099620.0,
ASUS,Core i5,8.0,512.0,Integrated,100.0,18998100.0,
ASUS,Core i5,8.0,512.0,Integrated,100.0,16148100.0,
Lenovo,Core i5,8.0,512.0,4 GB GPU,100.0,13280810.0,
DELL,Core i5,8.0,512.0,4 GB GPU,100.0,15198100.0,
DELL,Core i5,8.0,512.0,4 GB GPU,100.0,14497000.0,
Lenovo,Core i5,8.0,512.0,Integrated,100.0,10639810.0,
DELL,Core i5,8.0,512.0,Integrated,100.0,13851000.0,
DELL,Core i5,8.0,512.0,Integrated,100.0,14058100.0,
ASUS,Core i5,8.0,512.0,Integrated,100.0,16148100.0,
DELL,Core i5,8.0,512.0,2 GB GPU,100.0,13968610.0,
HP,Core i5,8.0,512.0,Integrated,100.0,23940000.0,
ASUS,Core i5,8.0,512.0,6 GB GPU,100.0,16908100.0,
HP,Core i5,8.0,512.0,Integrated,100.0,21849810.0,
DELL,Core i5,8.0,512.0,2 GB GPU,100.0,15768100.0,
acer,Core i5,8.0,512.0,Integrated,100.0,20899810.0,
Lenovo,Core i5,8.0,512.0,Integrated,100.0,15768100.0,
DELL,Core i5,8.0,512.0,2 GB GPU,100.0,15198100.0,
ASUS,Core i5,8.0,512.0,Integrated,100.0,21848100.0,
HP,Core i5,8.0,512.0,Integrated,100.0,24699810.0,
MSI,Core i5,8.0,512.0,6 GB GPU,100.0,28498100.0,
DELL,Core i5,8.0,512.0,2 GB GPU,100.0,13545100.0,
DELL,Core i5,8.0,512.0,Integrated,100.0,15105000.0,
DELL,Core i5,8.0,512.0,2 GB GPU,100.0,15768100.0,
DELL,Core i5,8.0,512.0,2 GB GPU,100.0,13486200.0,
ASUS,Core i5,8.0,512.0,Integrated,100.0,18998100.0,
HP,Core i5,8.0,512.0,Integrated,100.0,17860000.0,
DELL,Core i5,8.0,512.0,2 GB GPU,100.0,15768100.0,
MSI,Core i5,8.0,512.0,Integrated,100.0,15198100.0,
ASUS,Core i5,8.0,512.0,Integrated,100.0,16338100.0,
ASUS,Core i5,8.0,512.0,2 GB GPU,100.0,16528100.0,
ASUS,Core i5,8.0,512.0,2 GB GPU,100.0,20138100.0,
ASUS,Core i5,8.0,512.0,Integrated,100.0,16148100.0,
Lenovo,Core i5,8.0,512.0,2 GB GPU,100.0,11399810.0,
Lenovo,Core i5,8.0,512.0,Integrated,100.0,17479810.0,
DELL,Core i5,8.0,512.0,Integrated,100.0,14991000.0,
ASUS,Core i5,8.0,512.0,Integrated,100.0,25230100.0,
Lenovo,Core i5,8.0,512.0,4 GB GPU,100.0,11588100.0,
Avita,Core i5,8.0,512.0,Integrated,100.0,12455640.0,
DELL,Core i5,16.0,512.0,Integrated,100.0,13336100.0,
DELL,Core i5,8.0,512.0,2 GB GPU,100.0,15122100.0,
Avita,Core i5,8.0,512.0,Integrated,100.0,12455640.0,
ASUS,Core i5,8.0,512.0,4 GB GPU,100.0,14628100.0,
Avita,Core i5,8.0,512.0,Integrated,100.0,12455640.0,
Avita,Core i5,8.0,512.0,Integrated,100.0,8548100.0,
ASUS,Core i5,8.0,512.0,Integrated,100.0,16148100.0,
